3,Quarter To Three,,,,,,,,,,
3,0,,,,,,,,,,
3, N , N , N , N ,,,,,,,
3, 1_maj7 , 6_maj/5 , 1_7 , 1_7 ,,,,,,,
3, 6_maj7 , 8_maj/b7 , 5_min7 , 0:min ,,,,,,,
3, 6_maj7 , 8_maj/b7 , 5_min7 5_7 , 0:min 3_9 , 3_9 , &pause ,,,,,
3, 1_maj/5 , 6_maj/9 , 1_maj/5 , 6_maj/9 ,,,,,,,
3, 1_maj/5 , 6_maj/9 ,,,,,,,,,
3, 3_9/3 , 8_maj ,,,,,,,,,
3, 1_maj7 , 6_maj/5 , 1_maj7 , 8_aug(b7) ,,,,,,,
3, 1_maj7 , 6_maj/5 , 1_7 , 1_7 ,,,,,,,
3, 6_maj7 , 8_maj/b7 , 5_min7 , 0:min ,,,,,,,
3,Last Dance,,,,,,,,,,
3, 1_maj , 6_maj/5 , 1_maj , 6_maj/5 ,,,,,,,
3, 1_maj7 , 6_maj/5 , 1_maj7 , 8_aug(b7) ,,,,,,,
3, 1_maj7 , 6_maj/5 , 1_7 , 1_7 ,,,,,,,
3, 6_maj7 , 8_maj/b7 , 5_min7 , 0:min ,,,,,,,
3, 6_maj7 , 8_maj/b7 , 5_min7 5_7 , 0:min 3_9 , 3_9 , &pause ,,,,,
3, 1_maj/5 , 6_maj/9 , 1_maj/5 , 6_maj/9 ,,,,,,,
3, 1_maj/5 , 6_maj/9 ,,,,,,,,,
3, 3_9/3 , 8_maj ,,,,,,,,,
3, 1_maj7 , 6_maj/5 , 1_maj7 , 8_aug(b7) ,,,,,,,
3, 1_maj7 , 6_maj/5 , 1_7 , 1_7 ,,,,,,,
3, 6_maj7 , 8_maj/b7 , 5_min7 , 0:min ,,,,,,,
3,Last Dance,,,,,,,,,,
3, 1_maj , 6_maj/5 , 1_maj , 6_maj/5 ,,,,,,,
3, 1_maj7 , 6_maj/5 , 1_maj7 , 8_aug(b7) ,,,,,,,
3, 1_maj7 , 6_maj/5 , 1_7 , 1_7 ,,,,,,,
3, 6_maj7 , 8_maj/b7 , 5_min7 , 0:min ,,,,,,,
3, 6_maj7 , 8_maj/b7 , 5_min7 5_7 , 0:min 3_9 , 3_9 , &pause ,,,,,
3, 1_maj/5 , 6_maj/9 , 1_maj/5 , 6_maj/9 ,,,,,,,
3, 1_maj/5 , 6_maj/9 ,,,,,,,,,
3, 3_9/3 , 8_maj ,,,,,,,,,
3, 1_maj7 , 6_maj/5 , 1_maj7 , 8_aug(b7) ,,,,,,,
3, 1_maj7 , 6_maj/5 , 1_7 , 1_7 ,,,,,,,
3, 6_maj7 , 8_maj/b7 , 5_min7 , 0:min ,,,,,,,
3,Little Old Lady From Pasadena,,,,,,,,,,
3, N , N , 8_maj , 8_maj ,,,,,,,
3, 1_maj , 1_maj , 1_maj , 6_maj 1_maj ,,,,,,,
3, 1_maj , 1_maj , 8_7 , 3_maj 8_7 ,,,,,,,
3, 1_maj , 6_maj , 3_maj 11_maj , 8_7 , 8_7 ,,,,,,
3, 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
3, 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
3, 4_maj , 8_maj , 8_maj , 8_maj ,,,,,,,
3, 1_maj , 1_maj , 1_maj , 6_maj 1_maj ,,,,,,,
3, 1_maj , 1_maj , 8_7 , 3_maj 8_7 ,,,,,,,
3, 1_maj , 6_maj , 3_maj 11_maj , 8_7 , 8_7 ,,,,,,
3, 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
3,Make Me Smile,,,,,,,,,,
3, 6_maj7 , 6_maj7 , C9_maj/5 , C9_maj/5 ,,,,,,,
3, 6_maj7 , 6_maj7 , C9_maj/5 , C9_maj/5 ,,,,,,,
3, 0:sus2/5 , 0:sus2/5 ,,,,,,,,,
3, 8_sus4(b7) , 8_sus4(b7) , 8_sus4(b7) , 8_sus4(b7) , 8_sus4(b7) , 8_sus4(b7) ,,,,,
3, 2_maj7 , 2_maj7 , 5_maj7 , 5_maj7 ,,,,,,,
3, 6_sus4 , 6_sus4 ,,,,,,,,,
3, 0:min , 6_maj , 1_maj , 8_maj 5_7 ,,,,,,,
3, 0:min , 6_maj , 1_maj , 8_maj 5_7 ,,,,,,,
3, 0:min 8_maj/3 , 1_maj 3_min , 5_sus4(b7) , 5_7 ,,,,,,,
3, 1_sus4 1_maj , 11_maj 6_maj ,,,,,,,,,
3, 1_sus4 1_maj , 11_maj 6_maj ,,,,,,,,,
3, 1_sus4 1_maj , 11_maj 6_maj ,,,,,,,,,
3, 1_sus4 1_maj , 11_maj 6_maj ,,,,,,,,,
3, 1_maj 0:min , 8_sus4 8_maj , 6_sus4 , 6_maj ,,,,,,,
3, 0:min , 6_maj , 1_maj , 8_maj 5_7 ,,,,,,,
3, 0:min , 6_maj , 1_maj , 8_maj 5_7 ,,,,,,,
3, 0:min 8_maj/3 , 1_maj 3_min , 5_sus4(b7) , 5_7 ,,,,,,,
3, 1_sus4 1_maj , 11_maj 6_maj ,,,,,,,,,
3, 1_sus4 1_maj , 11_maj 6_maj ,,,,,,,,,
3, 1_sus4 1_maj , 11_maj 6_maj ,,,,,,,,,
3,Maniac,,,,,,,,,,
3, N , N , N , N , x2,,,,,,
3, C9_maj7(#11) , 11_11 , 1_min7 , 1_min11 , x2,,,,,,
3, 1_min(b13) , 1_min6 , 1_min7 , 1_maj9 ,,,,,,,
3, C9_maj , 11_maj/b7 , C9_maj , 8_sus4 8_maj ,,,,,,,
3, 1_min(b13) , 1_min6 , 1_min7 , 1_maj9 ,,,,,,,
3, C9_maj , 11_maj/b7 , C9_maj , 8_sus4 8_maj ,,,,,,,
3, 6_7 , 6_7 , 8_aug , 8_aug ,,,,,,,
3, C9_maj , C9_maj , 8_sus4 , 8_maj ,,,,,,,
3, C9_maj7(#11) , 11_11 , 1_min7 , 1_min11 , x3,,,,,,
3, C9_maj7(#11) , 11_11 , 6_min , 6_min , 6_min , 6_min ,,,,,
3, 1_min(b13) , 1_min6 , 1_min7 , 1_maj9 ,,,,,,,
3, C9_maj , 11_maj/b7 , C9_maj , 8_sus4 8_maj ,,,,,,,
3, 1_min(b13) , 1_min6 , 1_min7 , 1_maj9 ,,,,,,,
3, C9_maj , 11_maj/b7 , C9_maj , 8_sus4 8_maj ,,,,,,,
3, 6_7 , 6_7 , 8_aug , 8_aug ,,,,,,,
3, C9_maj , C9_maj , 8_sus4 , 8_maj ,,,,,,,
3, C9_maj7(#11) , 11_11 , 1_min7 , 1_min11 , x3,,,,,,
3, C9_maj7(#11) , 11_11 , 6_min , 6_min ,,,,,,,
3, 4_maj(11) ," 3_1(b5,11) ", 8_5(b7)/5 , 1_min7 , x4,,,,,,
3, 1_min(b13) , 1_min6 , 1_min7 , 1_maj9 ,,,,,,,
3, C9_maj , 11_maj/b7 , C9_maj , 8_sus4 8_maj ,,,,,,,
3, 1_min(b13) , 1_min6 , 1_min7 , 1_maj9 ,,,,,,,
3, C9_maj , 11_maj/b7 , C9_maj , 8_sus4 8_maj ,,,,,,,
3, 6_7 , 6_7 , 8_aug , 8_aug ,,,,,,,
3, C9_maj , C9_maj , 8_sus4 , 8_maj ,,,,,,,
3, C9_maj7(#11) , 11_11 , 1_min7 , 1_min11 , x3,,,,,,
3, C9_maj7(#11) , 11_11 , 6_min , 6_min ,,,,,,,
3, C9_maj7(#11) , 11_11 , 1_min7 , 1_min11 , x3,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Mighty Good Lovin',,,,,,,,,,
3, 1_1 8_1 11_1 1_1 , 1_1 8_1 11_1 1_1 ,,,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 8_7 . . ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 6_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
3, 8_7 , 6_7 , 1_7 , N ,,,,,,,
3, 1_7 , 6_7 , 1_7 , 6_7 ,,,,,,,
3, 1_7 , 6_7 , 1_7 , 6_7 ,,,,,,,
3, 8_7 , 6_7 , 1_7 , N ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 8_7 , 6_7 , 3_7 , 8_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 6_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
3, 8_7 , 6_7 , 1_7 , N ,,,,,,,
3, 1_7 , 6_7 , 1_7 , 6_7 ,,,,,,,
3, 1_7 , 6_7 , 1_7 , 6_7 ,,,,,,,
3, 8_7 , 6_7 , 1_7 , N ,,,,,,,
3, 1_7 , 6_7 , 1_7 , 6_7 ,,,,,,,
3, 1_7 , 6_7 , 1_7 , 6_7 ,,,,,,,
3, 1_7 , 6_7 , 1_7 , 6_7 , 1_7 , 6_7 , 1_7 , 6_7 ,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3, 9_min 2_min ," 7_sus4(b7,9) 12_maj ",,,,,,,,,
3, 12_maj 9_min , 5_maj 12_maj ,,,,,,,,,
3, 1_maj 0:min , 6_maj 1_maj ,,,,,,,,,
3, 1_maj 0:min , 6_maj 1_maj ,,,,,,,,,
3, 1_maj 0:min , 6_maj 1_maj ,,,,,,,,,
3, 1_maj 0:min , 6_maj 1_maj ,,,,,,,,,
3, 0:min 3_min ," 8_sus4(b7,9) 1_maj ",,,,,,,,,
3, 1_maj 0:min , 6_maj 1_maj ,,,,,,,,,
3, 1_maj 0:min , 6_maj 1_maj ,,,,,,,,,
3, 1_maj 0:min , 6_maj 1_maj ,,,,,,,,,
3, 0:min 3_min ," 8_sus4(b7,9) 1_maj ",,,,,,,,,
3, 1_maj 0:min , 6_maj 1_maj ,,,,,,,,,
3, 1_maj 0:min , 6_maj 1_maj ,,,,,,,,,
3, 1_maj 0:min , 6_maj 1_maj ,,,,,,,,,
3, 0:min 3_min ," 8_sus4(b7,9) 1_maj ", 1_maj ,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Right Place Wrong Time,,,,,,,,,,
3, N ,,,,,,,,,,
3, N , 1_min7 , 1_min7 ,,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 6_7/5 , 1_min7 , 6_7/5 ,,,,,,,
3, 1_min7 , 6_7/5 , 1_min7 , 6_7/5 ,,,,,,,
3, 1_min7 , 6_7 , 1_min7 , 6_7 ,,,,,,,
3, 1_min7 , 6_7 , 1_min7 , 6_7 ,,,,,,,
3, 1_min7 , 6_7 , 1_min7 , 6_7 4_7 3_7 2_7 ,,,,,,,
3, 1_min7 , 1_min7 6_7/b7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 6_7/b7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 6_7 , 1_min7 , 6_7 ,,,,,,,
3, 1_min7 , 6_7 , 1_min7 , 6_7 4_7 3_7 2_7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 3_7 , 8_maj ,,,,,,,,,
3, 1_min7 , 6_7 , 1_min7 , 6_7 ,,,,,,,
3, 1_min7 , 6_7 , 1_min7 , 6_7 ,,,,,,,
3, 1_min7 , 6_7 , 1_min7 , 6_7 ,,,,,,,
3, 1_min7 , 6_7 , 1_min7 , 6_7 ,,,,,,,
3, 1_min7 , 6_7 , 1_min7 , 6_7 ,,,,,,,
3, 1_min7 , 6_7 , 1_min7 , 6_7 ,,,,,,,
3, 1_min7 , 6_7 , 1_min7 , 6_7 4_7 3_7 2_7 ,,,,,,,
3, 1_min7 , 1_min7 6_7/b7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 6_7/b7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 6_7 , 1_min7 , 6_7 ,,,,,,,
3, 1_min7 , 6_7 , 1_min7 , 6_7 ,,,,,,,
3, 1_min7 , 6_7 , 1_min7 , 6_7 ,,,,,,,
3, 1_min7 , 6_7 , 1_min7 , 6_7 ,,,,,,,
3, 1_min7 , 6_7 , 1_min7 , 6_7 ,,,,,,,
3, 1_min7 , 6_7 , 1_min7 , 6_7 ,,,,,,,
3, 1_min7 , 6_7 , 1_min7 , 6_7 ,,,,,,,
3, 1_min7 , 6_7 , 1_min7 , 6_7 4_7 3_7 2_7 ,,,,,,,
3, 1_min7 , 1_min7 6_7/b7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 6_7/b7 , &pause ,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Rocket Ride , 5_5 6_5 , 7_5 8_5 , 9_5 0:5 ,,,,,,,
3, 1_min , 1_min , 1_min , 1_min ,,,,,,,
3, 1_min , 1_min , 1_min , 1_min ,,,,,,,
3, 3_5 . . 8_5 , 3_5 . . 1_5 , 3_5 . . 8_5 , 3_5 4_5 5_5 6_5 ,,,,,,,
3, 1_min , 1_min , 1_min , 1_min ,,,,,,,
3, 3_5 . . 8_5 , 3_5 . . 1_5 , 3_5 . . 8_5 , 3_5 4_5 5_5 6_5 ,,,,,,,
3, 1_min , 1_min , 1_min , 1_min ,,,,,,,
3, 11_maj , 1_min , 3_5 , 3_5 ,,,,,,,
3, 3_maj . . 8_maj/5 , 3_maj . . 8_maj/5 , 3_maj 1_maj . 8_maj , 8_maj 1_maj . 8_maj ,,,,,,,
3, 3_maj . . 8_maj/5 , 3_maj . . 8_maj/5 , 3_maj 1_maj . 8_maj , 8_maj 1_maj . 8_maj ,,,,,,,
3, 1_min , 1_min , 1_min , 1_min ,,,,,,,
3, 1_min , 1_min , 1_min , 1_min ,,,,,,,
3, 3_5 . . 8_5 , 3_5 . . 1_5 , 3_5 . . 8_5 , 3_5 4_5 5_5 6_5 ,,,,,,,
3, 1_min , 1_min , 1_min , 1_min ,,,,,,,
3, 3_5 . . 8_5 , 3_5 . . 1_5 , 3_5 . . 8_5 , 3_5 4_5 5_5 6_5 ,,,,,,,
3, 1_min , 1_min , 1_min , 1_min ,,,,,,,
3, 11_maj , 1_min , 3_5 , 3_5 ,,,,,,,
3, 3_maj . . 8_maj/5 , 3_maj . . 8_maj/5 , 3_maj 1_maj . 8_maj , 8_maj 1_maj . 8_maj ,,,,,,,
3, 3_maj . . 8_maj/5 , 3_maj . . 8_maj/5 , 3_maj 1_maj . 8_maj , 8_maj 1_maj . 8_maj ,,,,,,,
3, 3_1 4_1 , 5_1 6_1 , 7_1 8_1 , 9_1 0:1 ,,,,,,,
3, 3_maj 4_maj , 5_maj 6_maj , 7_maj 8_maj , 9_maj 0:maj ,,,,,,,
3, 3_maj 4_maj , 5_maj 6_maj , 7_maj 8_maj , 9_maj 0:maj ,,,,,,,
3, 3_maj . . 8_maj , 3_maj . . 8_maj , 3_maj . . 8_maj , 3_maj . 4_5 5_5 ,,,,,,,
3, 6_maj . . 11_maj , 6_maj . . 11_maj , 6_maj . . 11_maj , 6_5 7_5 8_5 9_5 ,,,,,,,
3, 0:maj . . 3_maj , 0:maj . . 3_maj , 0:maj . . 3_maj , 0:maj . 11_5 12_5 ,,,,,,,
3, 1_maj . . 6_maj , 1_maj . . 6_maj , 1_maj . . 6_maj , 1_maj . . 6_maj ,,,,,,,
3, 3_maj . . 8_maj/5 , 3_maj . . 8_maj/5 , 3_maj 1_maj . 8_maj , 8_maj 1_maj . 8_maj ,,,,,,,
3, 3_maj . . 8_maj/5 , 3_maj . . 8_maj/5 , 3_maj 1_maj . 8_maj , 8_maj 1_maj . 8_maj ,,,,,,,
3, 3_maj . . 8_maj/5 , 3_maj . . 8_maj/5 , 3_maj 1_maj . 8_maj , 8_maj 1_maj . 8_maj ,,,,,,,
3, 3_maj . . 8_maj/5 , 3_maj . . 8_maj/5 , 3_maj 1_maj . 8_maj , 8_maj 1_maj . 8_maj ,,,,,,,
3, 1_min , 1_min , 1_min , 1_min ,,,,,,,
3, 1_min , 1_min , 1_min , 6_5 ,,,,,,,
3, 6_5 , &pause ,,,,,,,,,
3, N , &pause ,,,,,,,,,
3, 6_7 , &pause , 6_5 ,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3, 5_maj , 5_maj , 12_maj , 12_maj ,,,,,,,
3, 7_maj 3_maj , 5_maj 7_maj , 12_maj , 1_7 ,,,,,,,
3, 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
3, 8_maj , 8_maj , 1_maj , 1_maj ,,,,,,,
3, 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
3, 8_maj 4_maj , 6_maj 8_maj , 1_maj , 1_maj ,,,,,,,
3, 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
3, 8_maj , 8_maj , 1_maj , 1_7 ,,,,,,,
3, 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
3, 8_maj 4_maj , 6_maj 8_maj , 1_maj , 1_maj ,,,,,,,
3, 8_maj 4_maj , 6_maj 8_maj , 1_maj , 1_maj ,,,,,,,
3, 8_maj 4_maj , 6_maj 8_maj , 1_maj , 1_maj ,,,,,,,
3, 8_maj 4_maj , 6_maj 8_maj , 1_maj , 1_maj ,,,,,,,
3, 8_maj 4_maj , 6_maj 8_maj , 1_maj , 1_maj ,,,,,,,
3, 8_maj 4_maj , 6_maj 8_maj , 1_maj , 1_maj ,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Sukiyaki, 8_maj 6_maj7/9 , 8_maj 6_maj7/9 , 8_maj 6_maj7/9 ,,,,,,,
3, 8_maj 6_maj7/9 , 8_maj 6_maj7/9 , 8_maj 6_maj7/9 , 8_maj 6_maj7/9 ,,,,,,,
3, 1_maj/5 6_maj/9 , 8_maj . 5_sus4 5_maj , 1_maj . 6_maj 3_min , 8_7 ,,,,,,,
3, 1_maj7 0:min , 1_maj . 0:min 8_maj , 1_maj 5_min , 0:min 8_maj ,,,,,,,
3, 1_maj 6_maj7 , 6_maj7 . 5_sus4 5_maj , 1_maj . 6_maj 3_min , 1_maj(9) ,,,,,,,
3, 6_maj7 8_7 , 1_maj 1_7 , 6_min7 11_7 , 5_min 0:min 8_sus4(b7) 8_7 ,,,,,,,
3, 1_maj 0:min , 1_maj . 0:min 8_maj , 1_maj 5_min , 0:min 8_maj ,,,,,,,
3, 1_maj 6_maj7 , 6_maj7 . 5_sus4 5_maj , 1_maj . 6_maj 3_min , 1_maj7 ,,,,,,,
3, 1_maj 0:min , 1_maj . 0:min 8_sus4 , 1_maj 5_min , 0:min 8_maj ,,,,,,,
3, 1_maj 6_maj7 , 6_maj7 . 5_sus4 5_maj , 1_maj . 6_maj 3_min , 1_maj7 ,,,,,,,
3, 1_maj 0:min , 1_maj . 0:min 8_maj , 1_maj 5_min , 0:min 8_maj ,,,,,,,
3, 1_maj 6_maj7 , 6_maj7 . 5_sus4 5_maj , 1_maj . 6_maj 3_min , 0:min 3_maj , 3_min 5_min 6_maj 8_sus4 , &pause ,,,,,
3, 1_maj/5 6_maj7/9 , 1_maj/5 6_maj7/9 , 1_maj/5 6_maj7/9 , 1_maj/5 6_maj7/9 ,,,,,,,
3, 1_maj/5 6_maj7/9 , 1_maj/5 6_maj7/9 , 1_maj/5 6_maj7/9 , 1_maj/5 6_maj7/9 ,,,,,,,
3, 1_maj ,,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,The Humpty Dance , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3,0,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj , 1_maj ,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , (6/4) 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,", fadeout",,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,The Humpty Dance , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3,0,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj , 1_maj ,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , (6/4) 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,", fadeout",,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,The Humpty Dance , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3,0,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj , 1_maj ,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , (6/4) 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,", fadeout",,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,The Millionaire,,,,,,,,,,
3, 1_maj 8_maj , 1_maj 8_maj ,,,,,,,,,
3, 1_maj 8_maj , 1_maj 8_maj ,,,,,,,,,
3, 0:min 5_min , 3_min 8_maj ,,,,,,,,,
3, 1_maj 8_maj , 1_maj 8_maj ,,,,,,,,,
3, 0:min 5_min , 3_min 8_maj , (6/4) 8_maj ,,,,,,,,
3, 1_maj 8_maj , 0:min 5_min ,,,,,,,,,
3, 6_maj , 8_maj ,,,,,,,,,
3, 1_maj 8_maj , 0:min 5_min ,,,,,,,,,
3, 6_maj 1_maj , 6_maj 6_maj/7 3_min 8_maj ,,,,,,,,,
3, 1_maj 8_maj , 1_maj 8_maj ,,,,,,,,,
3, 1_maj 8_maj , 1_maj 8_maj ,,,,,,,,,
3, 0:min 5_min , 3_min 8_maj ,,,,,,,,,
3, 1_maj 8_maj , 1_maj 8_maj ,,,,,,,,,
3, 0:min 5_min , 3_min 8_maj , (2/4) 8_maj ,,,,,,,,
3, 1_maj 8_maj , 0:min 5_min ,,,,,,,,,
3, 6_maj , 8_maj ,,,,,,,,,
3, 1_maj 8_maj , 0:min 5_min ,,,,,,,,,
3, 6_maj 1_maj , 6_maj 6_maj/7 3_min 8_maj ,,,,,,,,,
3, 1_maj 1_maj/b7 , 6_maj 8_maj ,,,,,,,,,
3, 1_maj 1_7 , 5_maj 0:min ,,,,,,,,,
3, 3_min , 6_maj 6_min ,,,,,,,,,
3, 1_maj 1_maj/7 0:min . ,,,,,,,,,,
3, 6_maj 7_dim , 8_maj ,,,,,,,,,
3, 1_maj 8_maj , 0:min 5_min ,,,,,,,,,
3, 6_maj , 8_maj ,,,,,,,,,
3, 1_maj 8_maj , 0:min 5_min ,,,,,,,,,
