Come Together,,,,,,,,,,
 1_maj, 1_maj, 12:maj, 12:maj,,,,,,,
 1_maj, 1_maj, 12:maj, 12:maj,,,,,,,
 3_min, 8_7 , x3,,,,,,,,
 10_min, 12:maj,,,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 1_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 12:maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Cry Like A Baby,,,,,,,,,,
 10_min, 10_min, 10_min, 10_min,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 6_maj, 6_maj, 8_maj, (2, 1_maj,,,,,,
 5_maj, 5_maj,,,,,,,,,
 1_maj, 6_maj,,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 6_maj, 6_maj, 8_maj, (2, 1_maj, 1_maj,,,,,
 3_min, 3_min, 10_min, 6_7 ,,,,,,,
 3_min, 3_min, 10_min, 6_maj, 6_maj,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 5_maj, 5_maj,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 6_maj, 6_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_7 , 1_maj, 1_maj, 1_maj,,,,,,,
 1_7 , 1_maj, 1_maj, 1_maj,,,,,,,
 1_7 , 1_maj, 1_maj, 1_maj,,,,,,,
 1_7 , 1_maj, 1_maj, 1_maj,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Deeper Shade Of Soul,,,,,,,,,,
 N , N , N , N ,,,,,,,
 8_7 , 8_7 , 8_7 , 8_7 ,,,,,,,
 8_7 , 8_7 , 8_7 , 8_7 ,,,,,,,
 8_7 , 8_7 , 8_7 , 8_7 ,,,,,,,
 8_7 , 8_7 , 8_7 , 8_7 ,,,,,,,
 1_maj, 8_maj, 1_maj, 8_maj,,,,,,,
 1_maj, 8_maj, 1_maj, 8_maj,,,,,,,
 8_7 , 8_7 , 8_7 , 8_7 ,,,,,,,
 8_7 , 8_7 , 8_7 , 8_7 ,,,,,,,
 8_7 , 8_7 , 8_7 , 8_7 ,,,,,,,
 8_7 , 8_7 , 8_7 , 8_7 ,,,,,,,
 1_maj, 8_maj, 1_maj, 8_maj,,,,,,,
 1_maj, 8_maj, 1_maj, 8_maj,,,,,,,
 1_maj, 4_maj, 8_maj, 12:maj,,,,,,,
 1_maj, 4_maj, 8_maj, 12:maj,,,,,,,
 8_7 , 8_7 , 8_7 , 8_7 ,,,,,,,
 8_7 , 8_7 , 8_7 , 8_7 ,,,,,,,
 8_7 , 8_7 , 8_7 , 8_7 ,,,,,,,
 8_7 , 8_7 , 8_7 , 8_7 ,,,,,,,
 1_maj, 8_maj, 1_maj, 8_maj,,,,,,,
 1_maj, 8_maj, 1_maj, 8_maj,,,,,,,
 1_maj, 8_maj, 1_maj, 8_maj,,,,,,,
 1_maj, 8_maj, 1_maj, 8_maj,,,,,,,
 1_maj, 8_7 . 6_maj, 1_maj, 8_7 . 6_maj,,,,,,,
 1_maj, 8_7 . 6_maj, 1_maj, 8_7 . 6_maj,,,,,,,
 1_maj, 8_7 . 6_maj, 1_maj, 8_7 . 6_maj,,,,,,,
 1_maj, 8_7 . 6_maj, 1_maj, 8_7 . 6_maj,,,,,,,
 1_maj, 8_7 . 6_maj, 1_maj,,,,,,,,
 8_7(#9) , 8_7(#9) , 8_7(#9) , 8_7(#9) ,,,,,,,
 8_7(#9) , 8_7(#9) , 8_7(#9) , 1_maj,,,,,,,
 8_7 , 8_7 , 8_7 , 8_7 ,,,,,,,
 8_7 , 8_7 , 8_7 , 8_7 ,,,,,,,
 8_7 , 8_7 , ,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Devil Woman ,,,,,,,,,,
 1_maj, 6_maj, 4_maj, 1_maj,,,,,,,
 1_maj, 6_maj, 4_maj, 1_maj ,,,,,,,
 1_maj, 6_maj, 4_maj, 1_maj ,,,,,,,
 1_maj, 6_maj, 4_maj, 1_maj ,,,,,,,
 12:maj, 1_min, 12:maj, 1_min,,,,,,,
 12:maj, 1_min, 9_maj, 8_maj,,,,,,,
 1_min, 1_min, 1_min, 9_maj,,,,,,,
 1_min, 1_min, 1_min, 9_maj,,,,,,,
 1_maj, 6_maj, 4_maj, 1_maj ,,,,,,,
 1_maj, 6_maj, 4_maj, 1_maj ,,,,,,,
 1_maj, 6_maj, 4_maj, 1_maj ,,,,,,,
 12:maj, 1_min, 12:maj, 1_min,,,,,,,
 12:maj, 1_min, 9_maj, 8_maj,,,,,,,
 1_min, 1_min, 1_min, 9_maj,,,,,,,
 1_min, 1_min, 1_min, 9_maj,,,,,,,
 9_maj, 12:maj, 9_maj, 12:maj,,,,,,,
 1_maj, 6_maj, 4_maj, 1_maj ,,,,,,,
 1_maj, 6_maj, 4_maj, 1_maj ,,,,,,,
 1_maj, 6_maj, 4_maj, 1_maj ,,,,,,,
 12:maj, 1_min, 12:maj, 1_min,,,,,,,
 12:maj, 1_min, 9_maj, 8_maj,,,,,,,
 1_min, 1_min, 1_min, 9_maj,,,,,,,
 1_min, 1_min, 1_min, 9_maj,,,,,,,
 1_min, 1_min, 1_min, 9_maj,,,,,,,
 1_min, 1_min, 1_min, 9_maj,,,,,,,
 1_min, 1_min, 1_min, 9_maj,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Don't Knock My Love - Pt. 1,,,,,,,,,,
 N ,,,,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 4_maj, 1_min, 9_maj, 6_min,,,,,,,
 4_maj, 1_min, 9_maj, 6_min,,,,,,,
 1_min, 1_min,,,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 4_maj, 1_min, 9_maj, 6_min,,,,,,,
 4_maj, 1_min, 9_maj, 6_min,,,,,,,
 4_7 , 4_7 , 4_7 , 4_7 ,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,", fadeout",,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Drivin' Wheel,,,,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 8_maj, 6_maj, 8_maj, 6_maj,,,,,,,
 8_maj, 6_maj, 8_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj, ,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 8_maj, 6_maj, 8_maj, 6_maj,,,,,,,
 8_maj, 6_maj, 8_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 1_maj,,,,,,,,,
 6_maj, 6_maj, 6_maj, 6_maj,,,,,,,
 8_maj, 8_maj, 8_maj, 8_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj,,,,,,,,
 6_maj, 6_maj, 6_maj, 6_maj,,,,,,,
 8_maj, 8_maj, 8_maj, 8_maj,,,,,,,
 8_maj, 8_maj, 8_maj, 8_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj, ,,,,,,
 6_1 , 1_1 ,,,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 8_min, 8_min, 12:maj, 6_maj, 12:maj, 12:maj,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Drivin' Wheel,,,,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 8_maj, 6_maj, 8_maj, 6_maj,,,,,,,
 8_maj, 6_maj, 8_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj, ,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 8_maj, 6_maj, 8_maj, 6_maj,,,,,,,
 8_maj, 6_maj, 8_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 1_maj,,,,,,,,,
 6_maj, 6_maj, 6_maj, 6_maj,,,,,,,
 8_maj, 8_maj, 8_maj, 8_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj,,,,,,,,
 6_maj, 6_maj, 6_maj, 6_maj,,,,,,,
 8_maj, 8_maj, 8_maj, 8_maj,,,,,,,
 8_maj, 8_maj, 8_maj, 8_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj, ,,,,,,
 6_1 , 1_1 ,,,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 8_min, 8_min, 12:maj, 6_maj, 12:maj, 12:maj,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Eight Days A Week,,,,,,,,,,
 1_maj, 3_maj, 6_maj, 1_maj,,,,,,,
 1_maj, 3_maj, 6_maj, 1_maj,,,,,,,
 1_maj, 3_maj, 6_maj, 1_maj,,,,,,,
 10_min, 6_maj, 10_min, 3_maj,,,,,,,
 1_maj, 3_maj, 6_maj, 1_maj,,,,,,,
 1_maj, 3_maj, 6_maj, 1_maj,,,,,,,
 1_maj, 3_maj, 6_maj, 1_maj,,,,,,,
 10_min, 6_maj, 10_min, 3_maj,,,,,,,
 1_maj, 3_maj, 6_maj, 1_maj,,,,,,,
 8_maj, 8_maj, 10_min, 10_min,,,,,,,
 3_maj, 3_maj, 6_maj, 8_maj,,,,,,,
 1_maj, 3_maj, 6_maj, 1_maj,,,,,,,
 1_maj, 3_maj, 6_maj, 1_maj,,,,,,,
 10_min, 6_maj, 10_min, 3_maj,,,,,,,
 1_maj, 3_maj, 6_maj, 1_maj,,,,,,,
 8_maj, 8_maj, 10_min, 10_min,,,,,,,
 3_maj, 3_maj, 6_maj, 8_maj,,,,,,,
 1_maj, 3_maj, 6_maj, 1_maj,,,,,,,
 1_maj, 3_maj, 6_maj, 1_maj,,,,,,,
 10_min, 6_maj, 10_min, 3_maj,,,,,,,
 1_maj, 3_maj, 6_maj, 1_maj,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 1_maj, 3_maj, 6_maj, 1_maj,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Every Little Thing She Does Is Magic,,,,,,,,,,
 N ,,,,,,,,,,
 8_maj, 8_maj , 8_maj, 8_maj,,,,,,,
 8_maj, 8_maj , 8_maj, 8_maj,,,,,,,
 8_maj, 8_maj , 8_maj, 8_maj,,,,,,,
 8_maj, 8_maj , 8_maj, 8_maj,,,,,,,
 8_maj, 8_maj , 8_maj, 8_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 8_maj, 1_maj, 8_maj, 1_maj,,,,,,,
 8_maj, 1_maj, 8_maj,,,,,,,,
 9_9 , 12:maj, 6_min, 8_min, 8_maj, 8_maj,,,,,
 8_maj, 8_maj , 8_maj, 8_maj,,,,,,,
 8_maj, 8_maj , 8_maj, 8_maj,,,,,,,
 8_maj, 8_maj , 8_maj, 8_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 8_maj, 1_maj, 8_maj, 1_maj,,,,,,,
 8_maj, 1_maj, 8_maj,,,,,,,,
 9_9 , 12:maj, 6_min, 8_min, 8_maj, 8_maj,,,,,
 9_maj, 4_maj, 6_min, 4_maj,,,,,,,
 6_sus4 , 4_maj, 9_maj, 4_maj,,,,,,,
 9_maj, 12:maj, 9_maj, 12:maj,,,,,,,
 9_maj, 12:maj, 9_maj, 12:maj,,,,,,,
 1_maj, 1_maj,,,,,,,,,
 8_maj, 1_maj, 8_maj, 1_maj,,,,,,,
 8_maj, 1_maj, 8_maj, 1_maj,,,,,,,
 8_maj, 1_maj, 8_maj, 1_maj,,,,,,,
 8_maj, 1_maj, 8_maj,,,,,,,,
 9_9 , 12:maj, 6_min, 8_min,,,,,,,
 9_maj, 12:maj, 1_maj, 1_maj,,,,,,,
 9_9 , 12:maj, 6_min, 8_min,,,,,,,
 9_maj, 12:maj, 1_maj, 1_maj,,,,,,,
 9_9 , 12:maj, 6_min, 8_min,,,,,,,
 9_maj, 12:maj, 1_maj, 1_maj,,,,,,,
 9_9 , 12:maj, 6_min, 8_min,,,,,,,
 9_maj, 12:maj, 1_maj, 1_maj,,,,,,,
 9_9 , 12:maj, 6_min, 8_min,,,,,,,
 9_maj, 12:maj, 1_maj, 1_maj,,,,,,,
 9_9 , 12:maj, 6_min, 8_min,,,,,,,
 9_maj, 12:maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj,,,,,,,,,
 9_9 , 12:maj, 6_min, 8_min,,,,,,,
 9_maj, 12:maj,,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Forever Man,,,,,,,,,,
 1_sus4 , 1_sus4 , 1_sus4 , 1_sus4 ,,,,,,,
 1_sus4 , 1_sus4 , 1_sus4 , 1_sus4 ,,,,,,,
 9_maj, 1_min, 9_maj, 1_min,,,,,,,
 9_maj, 1_min, 9_maj, 1_min, 9_maj,,,,,,
 1_sus4 , 1_sus4 , 1_sus4 , 1_sus4 ,,,,,,,
 9_maj, 1_min, 9_maj, 1_min,,,,,,,
 9_maj, 1_min, 9_maj, 1_min, 9_maj,,,,,,
 1_sus4 , 1_sus4 , 1_sus4 , 1_sus4 ,,,,,,,
 9_maj, 1_min, 9_maj, 1_min,,,,,,,
 9_maj, 1_min, 9_maj, 1_min, 9_maj,,,,,,
 1_sus4 , 1_sus4 , 1_sus4 , 1_sus4 ,,,,,,,
 9_maj, 1_min, 9_maj, 1_min,,,,,,,
 9_maj, 1_min, 9_maj, 1_min,,,,,,,
 9_maj, 1_min, 9_maj, 1_min,,,,,,,
 9_maj, 1_min, 9_maj, 1_min,,,,,,,
 9_maj, 1_min, 9_maj, 1_min,,,,,,,
 9_maj, 1_min, 9_maj, 1_min,,,,,,,
 1_sus4 , 1_sus4 , 1_sus4 , 1_sus4 ,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Get Ready,,,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 4_maj, 9_7 , 6_min, 12:maj,,,,,,,
 4_maj, 9_7 , 6_min, 12:maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 4_maj, 9_maj, 6_min, 12:maj,,,,,,,
 4_maj, 9_maj, 6_min, 12:maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 6_maj, 6_maj, 6_maj, 9_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 4_maj, 9_maj, 6_min, 12:maj,,,,,,,
 4_maj, 9_maj, 6_min, 12:maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Give To Live,,,,,,,,,,
0,,,,,,,,,,
 3_min, 1_maj, 6_maj, 1_maj,,,,,,,
 3_min, 1_maj, 6_maj,,,,,,,,
 8_maj, 8_maj,,,,,,,,,
 1_maj, 8_maj, 1_maj, 8_maj,,,,,,,
 1_maj, 5_min, 10_min, 8_maj,,,,,,,
 10_min,,,,,,,,,,
 3_min, 1_maj, 6_maj, 1_maj,,,,,,,
 3_min, 1_maj, 6_maj,,,,,,,,
 8_maj, 8_maj,,,,,,,,,
 1_maj, 8_maj, 1_maj, 8_maj,,,,,,,
 1_maj, 5_min, 10_min, 8_maj,,,,,,,
 10_min, 10_min,,,,,,,,,
 12:maj, 6_maj, 1_maj, 8_maj,,,,,,,
 12:maj, 6_maj,,,,,,,,,
 8_maj, 8_maj, 1_maj,,,,,,,,
 3_min, 1_maj, 6_maj, 1_maj,,,,,,,
 3_min, 1_maj, 6_maj, 6_maj,,,,,,,
 8_maj, 8_maj, ,,,,,,,,
 1_maj, 8_maj, 1_maj, 8_maj,,,,,,,
 1_maj, 5_min, 1_maj, 8_maj,,,,,,,
 1_maj, 8_maj, 1_maj, 8_maj,,,,,,,
 1_maj, 8_maj, 1_maj, 8_maj,,,,,,,
 1_maj, 8_maj, 1_maj, 8_maj,,,,,,,
 1_maj, 8_maj, 1_maj, 8_maj,,,,,,,
 1_maj, 8_maj, 1_maj, 8_maj,,,,,,,
 1_maj, ,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Happy Jack,,,,,,,,,,
 N , 1_maj, 1_maj, 1_maj, 1_maj,,,,,,
 1_maj, 1_maj, (2,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, (2,,,,,,,,
 1_maj, 1_maj,,,,,,,,,
 N , N , 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, (2,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, (2,,,,,,,,
 1_maj, 1_maj,,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 6_maj, 6_maj, 8_maj, 8_maj,,,,,,,
 6_maj, 6_maj, 8_maj, 8_maj,,,,,,,
 8_maj, 8_maj, 8_maj, 8_maj,,,,,,,
 1_maj, 1_maj, (2,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, (2,,,,,,,,
 1_maj, 1_maj,,,,,,,,,
 8_maj, 8_maj, 1_maj, 1_maj,,,,,,,
 8_maj, 8_maj, 1_maj, 1_maj,,,,,,,
 8_maj, 8_maj, 1_maj, 1_maj,,,,,,,
 8_maj, 8_maj,,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, (2,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, (2,,,,,,,,
 1_maj, 1_maj,,,,,,,,,
 8_maj, 8_maj, 1_maj, 1_maj,,,,,,,
 8_maj, 8_maj, 1_maj, 1_maj,,,,,,,
 6_maj, 6_maj, 8_maj, 1_maj,,,,,,,
 6_maj, 6_maj,,,,,,,,,
 8_maj, 8_maj, 8_maj, 8_maj,,,,,,,
 8_maj, 8_maj, 8_maj, 8_maj,,,,,,,
 6_maj, 6_maj, 8_maj, 8_maj,,,,,,,
 6_maj, 6_maj, 8_maj, 8_maj,,,,,,,
 8_maj, 8_maj, 8_maj, 8_maj,,,,,,,
 1_maj, 1_maj, (2,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, (2,,,,,,,,
 1_maj, 1_maj,,,,,,,,,
 N , N , 1_maj,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Heart Full of Soul,,,,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 6_maj, 9_maj, 4_maj,,,,,,,
 1_min, 6_maj, 9_maj, 4_maj,,,,,,,
 1_min, 6_maj, 9_maj, 4_maj,,,,,,,
 1_min, 6_maj, 9_maj, 4_maj,,,,,,,
 1_maj, 4_maj, 1_maj, 9_maj,,,,,,,
 1_maj, 8_maj, 6_maj,,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 6_maj, 9_maj, 4_maj,,,,,,,
 1_min, 6_maj, 9_maj, 4_maj,,,,,,,
 1_maj, 4_maj, 1_maj, 9_maj,,,,,,,
 1_maj, 8_maj, 6_maj,,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 6_maj, 9_maj, 4_maj,,,,,,,
 1_min, 6_maj, 9_maj, 4_maj,,,,,,,
 1_min, 6_maj, 9_maj, 4_maj,,,,,,,
 1_min, 6_maj, 9_maj, 4_maj,,,,,,,
 1_maj, 4_maj, 1_maj, 9_maj,,,,,,,
 1_maj, 8_maj, 6_maj,,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
 12:min, 7_maj, 12:min, 7_maj,,,,,,,
 4_min, 6_min, 12:min, 12:min,,,,,,,
 6_maj, 8_maj, 10_min, 1_maj,,,,,,,
 6_maj, 8_maj, 5_min, 5_min,,,,,,,
 6_maj, 6_maj, 8_maj, 8_maj,,,,,,,
Hey You! Get Off My Mountain,,,,,,,,,,
 8_11 , 5_min, 8_11 , 5_min,,,,,,,
 8_11 , 5_min, 8_11 , 5_min,,,,,,,
 8_11 , 5_min, 8_11 , 8_11 ,,,,,,,
 8_maj,,,,,,,,,,
 1_maj, 1_maj, 8_11 , 8_11 ,,,,,,,
 1_maj, 1_maj, 8_11 , 8_11 ,,,,,,,
 8_11 , 5_min, 8_11 , 5_min,,,,,,,
 8_11 , 5_min, 6_maj, 8_11 ,,,,,,,
 8_11 , 5_min, 8_11 , 5_min,,,,,,,
 8_11 , 5_min, 8_11 , 8_11 ,,,,,,,
 8_11 , 8_11 , 8_1 ,,,,,,,,
 1_maj, 1_maj, 8_11 , 8_11 ,,,,,,,
 1_maj, 1_maj, 8_11 , 8_11 ,,,,,,,
 8_11 , 5_min, 8_11 , 5_min,,,,,,,
 8_11 , 5_min, 6_maj, 8_11 ,,,,,,,
 8_11 , 5_min, 8_11 , 5_min,,,,,,,
 8_11 , 5_min, 8_11 , 5_min,,,,,,,
 8_11 , 5_min, 8_11 , 5_min,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
How Blue Can You Get,,,,,,,,,,
 1_7 , 6_7 , 1_7 , 8_7 ,,,,,,,
 1_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
 6_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
 8_7 , 6_7 , 1_7 , 8_7 ,,,,,,,
 1_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
 6_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
 8_7 , 6_7 , 1_7 , 8_7 ,,,,,,,
 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
 8_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
 8_7 , 6_7 , 1_7 , 8_7 1_9 , ,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Human Nature,,,,,,,,,,
 6_maj, 4_maj,,,,,,,,,
 6_maj, 4_maj,,,,,,,,,
 6_maj, 6_maj, 6_maj, 6_maj,,,,,,,
 6_maj, 6_maj, 6_maj, 3_min,,,,,,,
 6_maj, 6_maj, 6_maj, 6_maj,,,,,,,
 6_maj, 6_maj, 6_maj, 3_min,,,,,,,
 6_maj, 1_maj,,,,,,,,,
 6_maj, 3_min,,,,,,,,,
 6_maj, 1_maj,,,,,,,,,
 6_maj, 3_min,,,,,,,,,
 6_maj, 6_maj, 6_maj, 6_maj,,,,,,,
 6_maj, 6_maj, 6_maj, 3_min,,,,,,,
 6_maj, 1_maj,,,,,,,,,
 6_maj, 3_min,,,,,,,,,
 6_maj, 1_maj,,,,,,,,,
 6_maj, 3_min, 3_min, 3_min,,,,,,,
 3_min," 8_sus4(,9,13) ",,,,,,,,,
 6_maj, 4_maj,,,,,,,,,
 6_maj, 4_maj,,,,,,,,,
 6_maj, 6_maj, 6_maj, 6_maj,,,,,,,
 6_maj, 6_maj, 6_maj, 3_min,,,,,,,
 6_maj, 1_maj,,,,,,,,,
 6_maj, 3_min,,,,,,,,,
